id,type,title,status,priority,assignee,reporter,parent,addressed_to,path,created,updated
DEV-STORY-015,dev_story,foundry-sql-queries skill (5 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-015,2026-04-13,2026-08-10
DEV-STORY-016,dev_story,"foundry-streams skill (17 operations, batch strategy ADR-003)",Closed,High,architect,architect,FEATURE-001,,DEV-STORY-016,2026-04-13,2026-08-10
DEV-STORY-017,dev_story,foundry-connectivity skill (15 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-017,2026-04-13,2026-08-10
DEV-STORY-018,dev_story,foundry-media-sets skill (19 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-018,2026-04-13,2026-08-10
DEV-STORY-019,dev_story,foundry-checkpoints skill (3 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-019,2026-04-13,2026-08-10
DEV-STORY-020,dev_story,foundry-data-health skill (4 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-020,2026-04-13,2026-08-10
DEV-STORY-021,dev_story,foundry-third-party-applications skill (9 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-021,2026-04-13,2026-08-11
DEV-STORY-022,dev_story,foundry-widgets skill (12 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-022,2026-04-13,2026-08-11
DEV-STORY-023,dev_story,Author foundry/ knowledge skill content,Closed,High,architect,architect,FEATURE-001,,DEV-STORY-023,2026-04-13,2026-08-11
TASK-001,task,Analyze project implementation needs and request required team members via HR,Closed,High,architect,architect,,,TASK-001,2026-05-01,2026-05-01
RESOURCE-REQ-001,resource_req,Provision Business Analyst (BA) agent for Foundry CLI project,Closed,High,hr,architect,,,RESOURCE-REQ-001,2026-05-01,2026-05-01
RESOURCE-REQ-002,resource_req,Provision Tech Lead / Senior Python Developer agent for Foundry CLI project,Closed,Critical,hr,architect,,,RESOURCE-REQ-002,2026-05-01,2026-05-01
RESOURCE-REQ-003,resource_req,Provision Python Developer agent(s) for Foundry CLI namespace skill implementation,Closed,Critical,hr,architect,,,RESOURCE-REQ-003,2026-05-01,2026-05-01
RESOURCE-REQ-004,resource_req,Provision QA Engineer agent for Foundry CLI testing lifecycle,Closed,High,hr,architect,,,RESOURCE-REQ-004,2026-05-01,2026-05-01
RESOURCE-REQ-005,resource_req,Provision DevOps Engineer agent for Foundry CLI packaging and deployment pipeline,Closed,High,hr,architect,,,RESOURCE-REQ-005,2026-05-01,2026-05-01
TASK-002,task,Update all agent definitions to match canonical template,Closed,Medium,hr,tech-lead,,,TASK-002,2026-05-02,2026-05-02
SA-DES-001,sa_subtask_design,Foundry CLI: Technical Architecture Design,Closed,High,architect,system,FEATURE-001,,FEATURE-001/SA-DES-001,2026-05-02,2026-05-17
BA-DES-001,ba_subtask_design,Foundry CLI: Business Design Specification,Closed,High,ba,system,FEATURE-001,,FEATURE-001/BA-DES-001,2026-05-02,2026-05-17
QUESTION-002,question,Approval Request: SRS-001 (Software Requirements Specification for Foundry CLI),Closed,Critical,,ba,FEATURE-001,project-owner,FEATURE-001/QUESTION-002,2026-05-02,2026-05-05
QUESTION-003,question,Cross-Functional Review Request: SRS-001 Alignment with SAD-001,Closed,High,ba,ba,FEATURE-001,architect,FEATURE-001/QUESTION-003,2026-05-02,2026-05-02
QUESTION-004,question,Approval Request: SAD-001 and Architecture Design (Foundry CLI),Closed,Critical,architect,architect,FEATURE-001,project-owner,FEATURE-001/QUESTION-004,2026-05-05,2026-05-05
QUESTION-005,question,Cross-Functional Review Request: SAD-001 Alignment with SRS-001,Closed,Critical,ba,architect,FEATURE-001,ba,FEATURE-001/QUESTION-005,2026-05-05,2026-05-17
DESIGN-001,design,"DEV-STORY-002: Technical Design — RetryHandler, ErrorSerializer, OutputFormatter, LogSetup",Closed,Critical,tech-lead,tech-lead,DEV-STORY-002,,DEV-STORY-002/DESIGN-001,2026-05-17,2026-05-17
QUESTION-006,question,DEV-STORY-003: Acceptance criteria contain TODO placeholders — needs BA completion,Closed,Medium,architect,architect,,business-analyst,QUESTION-006,2026-05-17,2026-05-18
QUESTION-007,question,DEV-STORY-004: Acceptance criteria contain TODO placeholders — needs BA completion,Closed,High,architect,architect,,business-analyst,QUESTION-007,2026-05-17,2026-05-18
DESIGN-002,design,"DEV-STORY-001: Design Review — ConfigLoader, AuthProvider, AsyncClientFactory",Closed,Critical,architect,architect,DEV-STORY-001,,DEV-STORY-001/DESIGN-002,2026-05-17,2026-05-17
DEV-001,development,"DEV-STORY-001: Implement ConfigLoader, AuthProvider, AsyncClientFactory",Closed,Critical,architect,architect,DEV-STORY-001,,DEV-STORY-001/DEV-001,2026-05-17,2026-07-05
CODEREVIEW-001,codereview,"CODE REVIEW: DEV-STORY-001 — ConfigLoader, AuthProvider, AsyncClientFactory",Closed,Critical,tech-lead,architect,DEV-STORY-001,,DEV-STORY-001/CODEREVIEW-001,2026-05-17,2026-07-04
DEV-002,development,"Implement RetryHandler, ErrorSerializer, OutputFormatter, LogSetup",Closed,Critical,developer,architect,DEV-STORY-002,,DEV-STORY-002/DEV-002,2026-05-17,2026-07-04
UNITTEST-001,unittest,"UNITTEST: DEV-STORY-001 — ConfigLoader, AuthProvider, AsyncClientFactory",Closed,Critical,developer,architect,DEV-STORY-001,,DEV-STORY-001/UNITTEST-001,2026-05-17,2026-05-20
UNITTEST-002,unittest,"UNITTEST: Write unit tests for RetryHandler, ErrorSerializer, OutputFormatter, LogSetup",Closed,Critical,developer,architect,DEV-STORY-002,,DEV-STORY-002/UNITTEST-002,2026-05-17,2026-07-04
DEVOPS-001,devops,DEVOPS: Add error handling library to CI/CD pipeline configuration,Canceled,High,devops-engineer,architect,DEV-STORY-002,,DEV-STORY-002/DEVOPS-001,2026-05-17,2026-05-17
TESTEXEC-001,testexec,"TESTEXEC: DEV-STORY-002 — Execute QA test cases for RetryHandler, ErrorSerializer, OutputFormatter, LogSetup",Closed,Critical,qa-engineer,architect,DEV-STORY-002,,DEV-STORY-002/TESTEXEC-001,2026-05-17,2026-07-26
TESTCASE-001,testcase,"TESTCASE: Define QA test cases for RetryHandler, ErrorSerializer, OutputFormatter, LogSetup",Closed,Critical,qa-engineer,architect,DEV-STORY-002,,DEV-STORY-002/TESTCASE-001,2026-05-17,2026-07-05
CODEREVIEW-002,codereview,"CODE REVIEW: RetryHandler, ErrorSerializer, OutputFormatter, LogSetup implementation",Closed,Medium,architect,architect,DEV-STORY-002,,DEV-STORY-002/CODEREVIEW-002,2026-05-17,2026-07-04
DEVOPS-002,devops,Add error handling library to CI/CD pipeline configuration,Closed,Medium,devops-engineer,architect,DEV-STORY-002,,DEV-STORY-002/DEVOPS-002,2026-05-17,2026-07-26
TESTCASE-002,testcase,"TESTCASE: DEV-STORY-001 — Integration & E2E Tests for ConfigLoader, AuthProvider, AsyncClientFactory",Closed,Critical,qa-engineer,architect,DEV-STORY-001,,DEV-STORY-001/TESTCASE-002,2026-05-17,2026-05-19
TESTEXEC-002,testexec,"TESTEXEC: DEV-STORY-001 — Execute Tests for ConfigLoader, AuthProvider, AsyncClientFactory",Closed,Critical,qa-engineer,architect,DEV-STORY-001,,DEV-STORY-001/TESTEXEC-002,2026-05-17,2026-05-20
DEVOPS-003,devops,"DEVOPS: DEV-STORY-001 — Infrastructure Setup for ConfigLoader, AuthProvider, AsyncClientFactory",Closed,Critical,devops-engineer,architect,DEV-STORY-001,,DEV-STORY-001/DEVOPS-003,2026-05-17,2026-05-19
QUESTION-008,question,DEV-002: Exit code mapping in ErrorSerializer conflicts with ADR-001,Closed,Critical,"tech-lead,architect",developer,DEV-002,tech-lead,DEV-002/QUESTION-008,2026-05-18,2026-05-18
DESIGN-003,design,DESIGN-005: Technical design for foundry-datasets skill,Closed,Critical,architect,architect,DEV-STORY-005,,DEV-STORY-005/DESIGN-003,2026-05-18,2026-05-18
DEV-003,development,DEV-005: Implement foundry-datasets skill (26 operations),Closed,Critical,python-developer,architect,DEV-STORY-005,,DEV-STORY-005/DEV-003,2026-05-18,2026-07-04
CODEREVIEW-003,codereview,CODEREVIEW-005: Code review for foundry-datasets implementation,Closed,Critical,python-developer,architect,DEV-STORY-005,,DEV-STORY-005/CODEREVIEW-003,2026-05-18,2026-07-04
UNITTEST-003,unittest,UNITTEST-005: Unit tests for foundry-datasets,Closed,Critical,python-developer,architect,DEV-STORY-005,,DEV-STORY-005/UNITTEST-003,2026-05-18,2026-07-04
TESTCASE-003,testcase,TESTCASE-005: QA test cases for foundry-datasets,Closed,Critical,qa-engineer,architect,DEV-STORY-005,,DEV-STORY-005/TESTCASE-003,2026-05-18,2026-07-26
TESTEXEC-003,testexec,TESTEXEC-005: Execute QA tests for foundry-datasets,Closed,Critical,qa-engineer,architect,DEV-STORY-005,,DEV-STORY-005/TESTEXEC-003,2026-05-18,2026-07-26
DEVOPS-004,devops,DEVOPS-005: Deploy foundry-datasets skill,Closed,High,devops-engineer,architect,DEV-STORY-005,,DEV-STORY-005/DEVOPS-004,2026-05-18,2026-07-26
BUG-001,bug,ConfigLoader CWD fallback broken when no git root — TC-CL-INT-004 fails,Rejected,High,developer,qa-engineer,DEV-STORY-001,tech-lead,DEV-STORY-001/BUG-001,2026-05-19,2026-05-20
BUG-002,bug,Test TC-E2E-001 missing directory setup — FileNotFoundError on chdir,Closed,Low,qa-engineer,qa-engineer,,,BUG-002,2026-05-19,2026-05-19
QUESTION-009,question,"QUESTION: DEVOPS-004 deployment prerequisites — DEV-STORY-001/003/004 incomplete, CLI code not in package directory",Closed,High,architect,devops-engineer,DEV-STORY-005,architect,DEV-STORY-005/QUESTION-009,2026-05-20,2026-05-20
BUG-SUB-001,bug_subtask,BUG-SUB: RetryHandler missing asyncio.wait_for() timeout (TC1.R2),Closed,Critical,python-developer,qa-engineer,DEV-STORY-002,,DEV-STORY-002/BUG-SUB-001,2026-07-04,2026-07-21
BUG-SUB-002,bug_subtask,BUG-SUB: RetryHandler missing HTTP 429/503-specific retry predicate (TC1.R3),Closed,Critical,python-developer,qa-engineer,DEV-STORY-002,,DEV-STORY-002/BUG-SUB-002,2026-07-04,2026-07-21
BUG-SUB-003,bug_subtask,BUG-SUB: RetryHandler missing SIGINT/SIGTERM signal handling (TC1.R4),Closed,Critical,python-developer,qa-engineer,DEV-STORY-002,,DEV-STORY-002/BUG-SUB-003,2026-07-04,2026-07-21
BUG-SUB-004,bug_subtask,BUG-SUB: ErrorSerializer exit code 8 (AccessControlError) unreachable via serialize() (TC2.R1),Closed,Critical,qa-engineer,qa-engineer,DEV-STORY-002,,DEV-STORY-002/BUG-SUB-004,2026-07-04,2026-07-22
QUESTION-010,question,QUESTION: TC1.R1 env var naming — FOUNDRY_* vs FOUNDRY_AGENTIC_CLI_RETRY_* (AC conflict),Closed,Critical,,qa-engineer,DEV-STORY-002,architect,DEV-STORY-002/QUESTION-010,2026-07-04,2026-07-05
QUESTION-011,question,QUESTION: TC2.R2 ErrorSerializer envelope schema — missing attempt/operation/details (AC conflict),Closed,Critical,,qa-engineer,DEV-STORY-002,architect,DEV-STORY-002/QUESTION-011,2026-07-04,2026-07-05
QUESTION-012,question,QUESTION: TC3.R2 TOON rendering — hand-rolled vs toon-python library (AC conflict),Closed,Critical,,qa-engineer,DEV-STORY-002,architect,DEV-STORY-002/QUESTION-012,2026-07-04,2026-07-05
QUESTION-013,question,QUESTION: TC3.R3 metadata separator in OutputFormatter.emit_to_stderr (AC conflict),Closed,Critical,,qa-engineer,DEV-STORY-002,architect,DEV-STORY-002/QUESTION-013,2026-07-04,2026-07-05
QUESTION-014,question,QUESTION: TC4.R2 LogSetup log file/rotation — AC vs ADR-005 conflict,Closed,Critical,,qa-engineer,DEV-STORY-002,architect,DEV-STORY-002/QUESTION-014,2026-07-04,2026-07-05
QUESTION-015,question,QUESTION: TESTCASE-003 D-1 Operation count mismatch (33 vs 26) in foundry-datasets,Closed,Critical,architect,qa-engineer,TESTCASE-003,architect,QUESTION-015,2026-07-04,2026-07-05
QUESTION-016,question,QUESTION: TESTCASE-003 D-2 Invalid JSON args return exit 6 (ServerError) not exit 1 (UserInputError),Closed,Critical,architect,qa-engineer,TESTCASE-003,architect,QUESTION-016,2026-07-04,2026-07-05
QUESTION-017,question,QUESTION: TESTCASE-003 D-3 Ambiguous --dataset-r flag for get-schema-batch,Closed,Critical,architect,qa-engineer,TESTCASE-003,architect,QUESTION-017,2026-07-04,2026-07-05
QUESTION-018,question,QUESTION: TESTCASE-003 D-4 PaginationHelper documented but unused; --batch-pages ignored,Closed,Critical,architect,qa-engineer,TESTCASE-003,architect,QUESTION-018,2026-07-04,2026-07-05
QUESTION-019,question,QUESTION: TESTCASE-003 D-5 file upload reads entire file into memory; no size guard,Closed,Critical,architect,qa-engineer,TESTCASE-003,architect,QUESTION-019,2026-07-04,2026-07-05
QUESTION-020,question,QUESTION: TESTCASE-003 D-6 No binary download path / MAX_DOWNLOAD_BYTES enforcement for file content/get,Closed,Critical,architect,qa-engineer,TESTCASE-003,architect,QUESTION-020,2026-07-04,2026-07-05
QUESTION-021,question,QUESTION: TESTCASE-003 D-7 OSError errno 11/115 rate-limit heuristic likely dead code,Closed,Critical,architect,qa-engineer,TESTCASE-003,architect,QUESTION-021,2026-07-04,2026-07-05
QUESTION-022,question,QUESTION: TESTCASE-003 D-8 AccessControlError envelope schema bypasses ErrorSerializer,Closed,Critical,architect,qa-engineer,TESTCASE-003,architect,QUESTION-022,2026-07-04,2026-07-05
QUESTION-023,question,QUESTION: TESTCASE-003 D-9 No asyncio.wait_for() timeout wrapper; relies on SDK honoring request_timeout,Closed,Critical,architect,qa-engineer,TESTCASE-003,architect,QUESTION-023,2026-07-04,2026-07-05
QUESTION-024,question,DEV-STORY-001 closure acceptance and resolution confirmation,Rejected,Critical,project-owner,architect,DEV-STORY-001,project-owner,DEV-STORY-001/QUESTION-024,2026-07-21,2026-07-22
QUESTION-025,question,TESTCASE-003 review request — approve QA test-case specification for foundry-datasets (33 ops),Closed,Critical,tech-lead,qa-engineer,TESTCASE-003,tech-lead,TESTCASE-003/QUESTION-025,2026-07-21,2026-07-22
DESIGN-004,design,Design AccessControlGuard and PaginationHelper implementation plan,Closed,Critical,architect,architect,DEV-STORY-003,,DEV-STORY-003/DESIGN-004,2026-07-22,2026-07-22
DEV-004,development,Implement AccessControlGuard and PaginationHelper behavior,Closed,Critical,python-developer,architect,DEV-STORY-003,,DEV-STORY-003/DEV-004,2026-07-22,2026-07-26
UNITTEST-004,unittest,Add unit coverage for ACL and pagination common components,Closed,Critical,python-developer,architect,DEV-STORY-003,,DEV-STORY-003/UNITTEST-004,2026-07-22,2026-07-26
CODEREVIEW-004,codereview,Review ACL and pagination implementation,Closed,Critical,tech-lead,architect,DEV-STORY-003,,DEV-STORY-003/CODEREVIEW-004,2026-07-22,2026-07-26
TESTCASE-004,testcase,Design QA cases for ACL and pagination,Closed,Critical,qa-engineer,architect,DEV-STORY-003,,DEV-STORY-003/TESTCASE-004,2026-07-22,2026-07-26
TESTEXEC-004,testexec,Execute QA validation for ACL and pagination,Closed,Critical,qa-engineer,architect,DEV-STORY-003,,DEV-STORY-003/TESTEXEC-004,2026-07-22,2026-07-26
BUG-SUB-005,bug_subtask,BUG-SUB: LogSetup/Integration TC-LS-001/002/003/004/006/007 + TC-INT-002/003 fail due to stderr_capture fixture / pytest FDCapture interaction,Closed,Critical,qa-engineer,qa-engineer,DEV-STORY-002,,DEV-STORY-002/BUG-SUB-005,2026-07-22,2026-07-26
BUG-SUB-006,bug_subtask,Resolve Foundry SDK dependency and import validation blockers,Closed,Critical,developer,manager,DEV-STORY-002,,DEV-STORY-002/BUG-SUB-006,2026-07-26,2026-07-26
BUG-SUB-007,bug_subtask,Fix ruff lint failures blocking deployment validation,Closed,Critical,manager,manager,DEV-STORY-002,,DEV-STORY-002/BUG-SUB-007,2026-07-26,2026-07-26
BUG-SUB-008,bug_subtask,Fix current pytest failures not covered by BUG-SUB-005,Closed,Critical,developer,manager,DEV-STORY-002,,DEV-STORY-002/BUG-SUB-008,2026-07-26,2026-07-26
BUG-SUB-009,bug_subtask,Restore missing datasets console script module,Closed,Critical,developer,manager,DEV-STORY-002,,DEV-STORY-002/BUG-SUB-009,2026-07-26,2026-07-26
BUG-SUB-010,bug_subtask,Correct CI deployment validation configuration drift,Closed,Critical,manager,manager,DEV-STORY-002,,DEV-STORY-002/BUG-SUB-010,2026-07-26,2026-07-26
QUESTION-026,question,Review and approve TESTCASE-004 QA case design,Closed,Medium,qa-engineer,qa-engineer,TESTCASE-004,tech-lead,TESTCASE-004/QUESTION-026,2026-07-26,2026-07-26
DESIGN-005,design,"Finalize contracts for binary downloads, sessions, and tracing",Closed,High,tech-lead,manager,DEV-STORY-004,,DEV-STORY-004/DESIGN-005,2026-07-27,2026-07-27
DEV-005,development,"Implement BinaryDownloadHandler, SessionManager, and TracingProvider",Closed,High,python-developer,manager,DEV-STORY-004,,DEV-STORY-004/DEV-005,2026-07-27,2026-07-27
UNITTEST-005,unittest,"Unit test BinaryDownloadHandler, SessionManager, and TracingProvider",Closed,High,python-developer,manager,DEV-STORY-004,,DEV-STORY-004/UNITTEST-005,2026-07-27,2026-07-27
CODEREVIEW-005,codereview,"Review BinaryDownloadHandler, SessionManager, and TracingProvider",Closed,High,architect,manager,DEV-STORY-004,,DEV-STORY-004/CODEREVIEW-005,2026-07-27,2026-07-27
TESTCASE-005,testcase,"Design test cases for binary downloads, sessions, and tracing",Closed,High,qa-engineer,manager,DEV-STORY-004,,DEV-STORY-004/TESTCASE-005,2026-07-27,2026-07-28
TESTEXEC-005,testexec,"Execute tests for binary downloads, sessions, and tracing",Closed,High,qa-engineer,manager,DEV-STORY-004,,DEV-STORY-004/TESTEXEC-005,2026-07-27,2026-07-28
DEVOPS-005,devops,Verify packaging and CI readiness for common components,Closed,High,devops-engineer,manager,DEV-STORY-004,,DEV-STORY-004/DEVOPS-005,2026-07-27,2026-07-28
QUESTION-027,question,"Confirm session token, trace propagation, and unknown-size truncation contracts",Closed,High,architect,tech-lead,DESIGN-005,architect,DESIGN-005/QUESTION-027,2026-07-27,2026-07-27
DESIGN-006,design,Design foundry-ontologies skill implementation (67 operations),Closed,Critical,architect,architect,DEV-STORY-007,,DEV-STORY-007/DESIGN-006,2026-07-28,2026-07-28
DEV-006,development,Implement foundry-ontologies skill (67 operations),Closed,Critical,python-developer,architect,DEV-STORY-007,,DEV-STORY-007/DEV-006,2026-07-28,2026-07-28
UNITTEST-006,unittest,Unit test foundry-ontologies skill (67 operations),Closed,Critical,python-developer,architect,DEV-STORY-007,,DEV-STORY-007/UNITTEST-006,2026-07-28,2026-07-28
CODEREVIEW-006,codereview,Code review foundry-ontologies implementation,Closed,Critical,tech-lead,architect,DEV-STORY-007,,DEV-STORY-007/CODEREVIEW-006,2026-07-28,2026-07-28
TESTCASE-006,testcase,Design QA test cases for foundry-ontologies skill,Closed,Critical,qa-engineer,architect,DEV-STORY-007,,DEV-STORY-007/TESTCASE-006,2026-07-28,2026-07-28
TESTEXEC-006,testexec,Execute QA for foundry-ontologies skill,Closed,Critical,qa-engineer,architect,DEV-STORY-007,,DEV-STORY-007/TESTEXEC-006,2026-07-28,2026-07-28
DEVOPS-006,devops,Deploy foundry-ontologies skill,Closed,Critical,devops-engineer,architect,DEV-STORY-007,,DEV-STORY-007/DEVOPS-006,2026-07-28,2026-07-28
QUESTION-028,question,Confirm DEV-STORY-007 development lead grooming review,Closed,Critical,architect,architect,DEV-STORY-007,tech-lead,DEV-STORY-007/QUESTION-028,2026-07-28,2026-07-28
QUESTION-029,question,Confirm DEV-STORY-007 QA grooming review,Closed,Critical,architect,architect,DEV-STORY-007,qa-engineer,DEV-STORY-007/QUESTION-029,2026-07-28,2026-07-28
QUESTION-030,question,Confirm DEV-STORY-007 DevOps grooming review,Closed,Critical,architect,architect,DEV-STORY-007,devops-engineer,DEV-STORY-007/QUESTION-030,2026-07-28,2026-07-28
QUESTION-031,question,Closure decision needed for DEV-STORY-002 DoD conflict,Closed,Critical,manager,manager,DEV-STORY-002,Project Owner,DEV-STORY-002/QUESTION-031,2026-07-28,2026-07-28
DESIGN-007,design,"DEV-STORY-006 DESIGN: filesystem skill technical spec, estimation & OP_SPECS design",Closed,High,tech-lead,architect,DEV-STORY-006,,DEV-STORY-006/DESIGN-007,2026-07-29,2026-07-29
DEV-007,development,"DEV-STORY-006 DEV: foundry-filesystem CLI (31 ops, ontologies OP_SPECS pattern)",Closed,High,python-developer,architect,DEV-STORY-006,,DEV-STORY-006/DEV-007,2026-07-29,2026-07-29
UNITTEST-007,unittest,DEV-STORY-006 UNITTEST: filesystem CLI dispatch/parser/ops/nested-subclient + exit-code tests,Closed,High,python-developer,architect,DEV-STORY-006,,DEV-STORY-006/UNITTEST-007,2026-07-29,2026-07-29
CODEREVIEW-007,codereview,"DEV-STORY-006 CODEREVIEW: review filesystem CLI (ontologies pattern adherence, ACL, exits, nested client)",Closed,High,tech-lead,architect,DEV-STORY-006,tech-lead,DEV-STORY-006/CODEREVIEW-007,2026-07-29,2026-07-29
TESTCASE-007,testcase,"DEV-STORY-006 TESTCASE: filesystem skill QA test cases (31 ops, infra, exits, pagination)",Closed,High,qa-engineer,architect,DEV-STORY-006,qa-engineer,DEV-STORY-006/TESTCASE-007,2026-07-29,2026-07-29
TESTEXEC-007,testexec,DEV-STORY-006 TESTEXEC: execute filesystem QA test cases & log evidence,Closed,High,qa-engineer,architect,DEV-STORY-006,qa-engineer,DEV-STORY-006/TESTEXEC-007,2026-07-29,2026-07-29
DEVOPS-007,devops,DEV-STORY-006 DEVOPS: package/verify foundry-filesystem console entry point install,Closed,High,architect,architect,DEV-STORY-006,devops-engineer,DEV-STORY-006/DEVOPS-007,2026-07-29,2026-07-29
QUESTION-032,question,QUESTION: Provide filesystem implementation availability for TESTCASE-007,Closed,High,qa-engineer,qa-engineer,TESTCASE-007,python-developer,TESTCASE-007/QUESTION-032,2026-07-29,2026-07-29
QUESTION-033,question,Review TESTCASE-007 QA test case design deliverable,Closed,High,qa-engineer,qa-engineer,TESTCASE-007,tech-lead,TESTCASE-007/QUESTION-033,2026-07-29,2026-07-29
DESIGN-008,design,DEV-STORY-008 DESIGN: functions skill OP_SPECS and implementation plan,Closed,High,tech-lead,manager,DEV-STORY-008,tech-lead,DEV-STORY-008/DESIGN-008,2026-07-29,2026-07-29
DEV-008,development,DEV-STORY-008 DEV: foundry-functions CLI implementation,Closed,High,python-developer,manager,DEV-STORY-008,,DEV-STORY-008/DEV-008,2026-07-29,2026-07-29
UNITTEST-008,unittest,DEV-STORY-008 UNITTEST: functions CLI parser dispatch and infra tests,Closed,High,python-developer,manager,DEV-STORY-008,,DEV-STORY-008/UNITTEST-008,2026-07-29,2026-07-29
CODEREVIEW-008,codereview,DEV-STORY-008 CODEREVIEW: review functions CLI,Closed,High,tech-lead,manager,DEV-STORY-008,tech-lead,DEV-STORY-008/CODEREVIEW-008,2026-07-29,2026-07-29
TESTCASE-008,testcase,DEV-STORY-008 TESTCASE: functions skill QA test cases,Closed,High,qa-engineer,manager,DEV-STORY-008,qa-engineer,DEV-STORY-008/TESTCASE-008,2026-07-29,2026-07-29
TESTEXEC-008,testexec,DEV-STORY-008 TESTEXEC: execute functions QA tests,Closed,High,qa-engineer,manager,DEV-STORY-008,qa-engineer,DEV-STORY-008/TESTEXEC-008,2026-07-29,2026-07-29
DEVOPS-008,devops,DEV-STORY-008 DEVOPS: package and verify foundry-functions entry point,Closed,High,devops-engineer,manager,DEV-STORY-008,devops-engineer,DEV-STORY-008/DEVOPS-008,2026-07-29,2026-07-29
DESIGN-009,design,design for foundry-admin CLI,Closed,High,architect,manager,DEV-STORY-009,,DEV-STORY-009/DESIGN-009,2026-07-29,2026-07-29
